family_type,go_function,family_count
Accessory,fucose transmembrane transporter activity,1
Accessory,galactokinase activity,1
Accessory,glucosamine-6-phosphate deaminase activity,1
Accessory,glutamate 5-kinase activity,1
Accessory,glutamate-5-semialdehyde dehydrogenase activity,1
Accessory,glycosyltransferase activity,1
Accessory,histidine phosphotransfer kinase activity,1
Accessory,hydro-lyase activity,1
Accessory,hydrolase activity,1
Accessory,hydrolase activity%2C acting on ester bonds,1
Accessory,hydrolase activity%2C hydrolyzing O-glycosyl compounds,1
Accessory,intramolecular lyase activity,1
Accessory,iron ion binding,1
Accessory,iron ion transmembrane transporter activity,1
Accessory,iron-sulfur cluster binding,1
Accessory,isomerase activity,1
Accessory,kinase activity,1
Accessory,ligand-gated monoatomic ion channel activity,1
Accessory,lipopolysaccharide transmembrane transporter activity,1
Accessory,lyase activity,1
Accessory,lysozyme activity,1
Accessory,mRNA binding,1
Accessory,magnesium ion binding,1
Accessory,manganese ion binding,1
Accessory,mannosyl-3-phosphoglycerate phosphatase activity,1
Accessory,metal ion binding,1
Accessory,metalloendopeptidase activity,1
Accessory,metallopeptidase activity,1
Accessory,methylated-DNA-[protein]-cysteine S-methyltransferase activity,1
Accessory,methylisocitrate lyase activity,1
Accessory,methyltransferase activity,1
Accessory,nicotinamide mononucleotide transmembrane transporter activity,1
Accessory,nucleic acid binding,1
Accessory,nucleotide binding,1
Accessory,oxidoreductase activity,1
Accessory,oxidoreductase activity%2C acting on paired donors%2C with incorporation or reduction of molecular oxygen%2C reduced flavin or flavoprotein as one donor%2C and incorporation of one atom of oxygen,1
Accessory,oxidoreductase activity%2C acting on the CH-OH group of donors%2C NAD or NADP as acceptor,1
Accessory,penicillin amidase activity,1
Accessory,peptidase activity,1
Accessory,phenylacetate-CoA ligase activity,1
Accessory,phenylacetyl-CoA 1%2C2-epoxidase activity,1
Accessory,phosphatase activity,1
Accessory,phosphatidate cytidylyltransferase activity,1
Accessory,poly-beta-1%2C6-N-acetyl-D-glucosamine transmembrane transporter activity,1
Accessory,polysaccharide transmembrane transporter activity,1
Accessory,porin activity,1
Accessory,potassium ion transmembrane transporter activity,1
Accessory,protein binding,1
Accessory,protein deglycase activity,1
Accessory,protein disulfide isomerase activity,1
Accessory,protein methyltransferase activity,1
Accessory,purine-nucleoside phosphorylase activity,1
Accessory,pyridoxal phosphate binding,1
Accessory,restriction endodeoxyribonuclease activity,1
Accessory,ribokinase activity,1
Accessory,secondary active transmembrane transporter activity,1
Accessory,serine-type endopeptidase activity,1
Accessory,siderophore uptake transmembrane transporter activity,1
Accessory,site-specific recombinase activity,1
Accessory,structural constituent of ribosome,1
Accessory,structural molecule activity,1
Accessory,sulfuric ester hydrolase activity,1
Accessory,symporter activity,1
Accessory,tRNA binding,1
Accessory,thiamine pyrophosphate binding,1
Accessory,thiolester hydrolase activity,1
Accessory,toxic substance binding,1
Accessory,toxin activity,1
Accessory,toxin transmembrane transporter activity,1
Accessory,transferase activity%2C transferring sulphur-containing groups,1
Accessory,translation release factor activity,1
Accessory,transmembrane transporter activity,1
Accessory,transporter activity,1
Accessory,transposase activity,1
Accessory,voltage-gated chloride channel activity,1
Accessory,xanthine phosphoribosyltransferase activity,1
Accessory,xylose isomerase activity,1
Accessory,zinc ion binding,1
Accessory,zinc ion transmembrane transporter activity,1
Core,(3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity,1
Core,(S)-2-hydroxy-acid oxidase activity,1
Core,(d)CMP kinase activity,1
Core,0000030,1
Core,0000049,1
Core,0000062,1
Core,0000104,1
Core,0000107,1
Core,0000150,1
Core,0000155,1
Core,0000166,1
Core,0000175,1
Core,0000179,1
Core,0000210,1
Core,0000287,1
Core,0000309,1
Core,0000700,1
Core,0000703,1
Core,0000906,1
Core,0001216,1
Core,0001727,1
Core,0002161,1
Core,0002953,1
Core,0003676,1
Core,0003677,1
Core,0003678,1
Core,0003684,1
Core,0003688,1
Core,0003697,1
Core,0003700,1
Core,0003723,1
Core,0003724,1
Core,0003725,1
Core,0003729,1
Core,0003735,1
Core,0003743,1
Core,0003746,1
Core,0003747,1
Core,0003755,1
Core,0003774,1
Core,0003824,1
Core,0003825,1
Core,0003842,1
Core,0003844,1
Core,0003852,1
Core,0003855,1
Core,0003856,1
Core,0003857,1
Core,0003861,1
Core,0003864,1
Core,0003866,1
Core,0003871,1
Core,0003879,1
Core,0003883,1
Core,0003887,1
Core,0003899,1
Core,0003906,1
Core,0003908,1
Core,0003911,1
Core,0003916,1
Core,0003917,1
Core,0003918,1
Core,0003919,1
Core,0003920,1
Core,0003922,1
Core,0003924,1
Core,0003934,1
Core,0003935,1
Core,0003937,1
Core,0003938,1
Core,0003942,1
Core,0003949,1
Core,0003951,1
Core,0003952,1
Core,0003955,1
Core,0003957,1
Core,0003973,1
Core,0003977,1
Core,0003988,1
Core,0003989,1
Core,0003991,1
Core,0003993,1
Core,0003994,1
Core,0003995,1
Core,0003998,1
Core,0003999,1
Core,0004000,1
Core,0004014,1
Core,0004015,1
Core,0004017,1
Core,0004018,1
Core,0004019,1
Core,0004020,1
Core,0004022,1
Core,0004038,1
Core,0004042,1
Core,0004044,1
Core,0004045,1
Core,0004047,1
Core,0004048,1
Core,0004049,1
Core,0004055,1
Core,0004056,1
Core,0004066,1
Core,0004067,1
Core,0004068,1
Core,0004070,1
Core,0004072,1
Core,0004073,1
Core,0004075,1
Core,0004076,1
Core,0004077,1
Core,0004084,1
Core,0004088,1
Core,0004089,1
Core,0004096,1
Core,0004106,1
Core,0004107,1
Core,0004108,1
Core,0004109,1
Core,0004113,1
Core,0004115,1
Core,0004124,1
Core,0004125,1
Core,0004126,1
Core,0004127,1
Core,0004129,1
Core,0004134,1
Core,0004139,1
Core,0004140,1
Core,0004141,1
Core,0004146,1
Core,0004148,1
Core,0004149,1
Core,0004150,1
Core,0004151,1
Core,0004152,1
Core,0004165,1
Core,0004170,1
Core,0004176,1
Core,0004177,1
Core,0004181,1
Core,0004185,1
Core,0004190,1
Core,0004222,1
Core,0004252,1
Core,0004298,1
Core,0004300,1
Core,0004314,1
Core,0004315,1
Core,0004316,1
Core,0004322,1
Core,0004324,1
Core,0004325,1
Core,0004326,1
Core,0004332,1
Core,0004333,1
Core,0004340,1
Core,0004342,1
Core,0004345,1
Core,0004347,1
Core,0004351,1
Core,0004356,1
Core,0004357,1
Core,0004359,1
Core,0004360,1
Core,0004362,1
Core,0004363,1
Core,0004366,1
Core,0004368,1
Core,0004370,1
Core,0004371,1
Core,0004373,1
Core,0004375,1
Core,0004385,1
Core,0004386,1
Core,0004399,1
Core,0004400,1
Core,0004401,1
Core,0004413,1
Core,0004416,1
Core,0004417,1
Core,0004418,1
Core,0004424,1
Core,0004425,1
Core,0004427,1
Core,0004450,1
Core,0004451,1
Core,0004452,1
Core,0004455,1
Core,0004456,1
Core,0004474,1
Core,0004476,1
Core,0004478,1
Core,0004479,1
Core,0004488,1
Core,0004489,1
Core,0004494,1
Core,0004497,1
Core,0004514,1
Core,0004516,1
Core,0004518,1
Core,0004519,1
Core,0004521,1
Core,0004523,1
Core,0004525,1
Core,0004526,1
Core,0004527,1
Core,0004534,1
Core,0004540,1
Core,0004550,1
Core,0004553,1
Core,0004555,1
Core,0004556,1
Core,0004558,1
Core,0004585,1
Core,0004588,1
Core,0004590,1
Core,0004591,1
Core,0004592,1
Core,0004594,1
Core,0004595,1
Core,0004601,1
Core,0004604,1
Core,0004609,1
Core,0004612,1
Core,0004614,1
Core,0004616,1
Core,0004619,1
Core,0004620,1
Core,0004622,1
Core,0004632,1
Core,0004633,1
Core,0004634,1
Core,0004635,1
Core,0004636,1
Core,0004637,1
Core,0004638,1
Core,0004639,1
Core,0004640,1
Core,0004641,1
Core,0004642,1
Core,0004643,1
Core,0004644,1
Core,0004648,1
Core,0004654,1
Core,0004655,1
Core,0004657,1
Core,0004659,1
Core,0004664,1
Core,0004665,1
Core,0004673,1
Core,0004674,1
Core,0004719,1
Core,0004721,1
Core,0004731,1
Core,0004733,1
Core,0004735,1
Core,0004738,1
Core,0004742,1
Core,0004743,1
Core,0004746,1
Core,0004748,1
Core,0004750,1
Core,0004751,1
Core,0004756,1
Core,0004764,1
Core,0004781,1
Core,0004783,1
Core,0004784,1
Core,0004789,1
Core,0004791,1
Core,0004792,1
Core,0004794,1
Core,0004795,1
Core,0004798,1
Core,0004799,1
Core,0004801,1
Core,0004802,1
Core,0004803,1
Core,0004805,1
Core,0004807,1
Core,0004808,1
Core,0004812,1
Core,0004813,1
Core,0004814,1
Core,0004815,1
Core,0004816,1
Core,0004817,1
Core,0004818,1
Core,0004819,1
Core,0004820,1
Core,0004821,1
Core,0004822,1
Core,0004823,1
Core,0004824,1
Core,0004825,1
Core,0004826,1
Core,0004827,1
Core,0004828,1
Core,0004829,1
Core,0004830,1
Core,0004831,1
Core,0004832,1
Core,0004834,1
Core,0004844,1
Core,0004845,1
Core,0004849,1
Core,0004851,1
Core,0004852,1
Core,0004853,1
Core,0004856,1
Core,0004857,1
Core,0004867,1
Core,0005047,1
Core,0005048,1
Core,0005198,1
Core,0005215,1
Core,0005247,1
Core,0005254,1
Core,0005283,1
Core,0005298,1
Core,0005385,1
Core,0005436,1
Core,0005506,1
Core,0005507,1
Core,0005509,1
Core,0005515,1
Core,0005524,1
Core,0005525,1
Core,0005536,1
Core,0005542,1
Core,0008080,1
Core,0008081,1
Core,0008094,1
Core,0008106,1
Core,0008113,1
Core,0008134,1
Core,0008135,1
Core,0008137,1
Core,0008168,1
Core,0008170,1
Core,0008172,1
Core,0008173,1
Core,0008176,1
Core,0008184,1
Core,0008186,1
